label,n_atoms,summary,description,pearson_r,p_value,n_heldout,cluster_id,is_real
fake_0,20,The detector activates on sinus rhythm,"The HIGH-activation group consists exclusively of ECGs showing sinus rhythm (including sinus tachycardia and sinus bradycardia variants), with 22/25 explicitly labeled as sinus rhythm and the remaining 3 showing sinus tachycardia. In stark contrast, the CONTROL group contains 4/8 ECGs with atrial fibrillation and only 4/8 with sinus rhythm variants. Despite similar overall complexity levels, the presence of organized atrial activity and regular P-waves characteristic of sinus rhythm is the distinguishing feature.",0.2801284219949649,0.18490210526686057,24,-1,False
fake_1,20,"The detector activates on intraventricular conduction delay patterns, particularly incomplete left bundle branch block and non-specific intraventricular conduction defects","The HIGH group contains multiple ECGs with intraventricular conduction defects (IVCDs) and incomplete LBBB, which are entirely absent in the CONTROL group. While both groups have bundle branch blocks (RBBB in HIGH, LBBB in CONTROL), the HIGH group is distinguished by the presence of incomplete conduction blocks and non-specific IVCDs. These patterns represent partial or non-complete conduction delays that don't meet criteria for complete bundle branch block.",0.2026747889058453,0.3422125316982162,24,-2,False
fake_2,20,The detector activates on low QRS voltages in the precordial leads,"The HIGH group shows a remarkably consistent pattern of low QRS voltages specifically in the precordial (chest) leads, appearing in 11 of 25 ECGs (44%). This finding is explicitly mentioned in the interpretations as 'Low QRS voltages in precordial leads.' In stark contrast, the CONTROL group shows NO instances of this pattern despite similar overall complexity and the presence of various other abnormalities including bundle branch blocks, infarcts, and conduction defects.",-0.25722201551467117,0.22497624740766134,24,-3,False
fake_3,20,The detector activates on suspected or confirmed arm lead reversal,"The HIGH-activation group shows a striking pattern where 16 out of 25 ECGs (64%) contain explicit warnings about suspected or confirmed arm lead reversal, with annotations like '--- Suspect arm lead reversal - only aVF, V1-V6 analyzed ---' or '*** arm lead reversal - only aVF, V1 - V6 analyzed ***'. These cases are characterized by extreme or unusual QRS axis values (typically >150° or <-150°) indicating limb lead misplacement. The CONTROL group has zero instances of arm lead reversal warnings despite similar overall complexity.",-0.23613472870136787,0.26662631416768734,24,-4,False
fake_4,20,The detector activates on normal heart rate sinus rhythm (60-75 bpm range),"The HIGH-activation group consists exclusively of ECGs with heart rates in the normal sinus range (65-70 bpm, predominantly 66-67 bpm), all showing simple 'sinus rhythm'. The CONTROL group is specifically enriched for rate abnormalities including sinus tachycardia (103-107 bpm), sinus bradycardia (52-55 bpm), and atrial flutter with rapid ventricular response (105 bpm). Despite matched complexity in other features, the discriminating factor is heart rate normality versus rate deviation.",0.45421143248987483,0.02577055176092485,24,-5,False
fake_5,20,The detector activates on ECGs with poor signal quality and analysis errors that prevent interpretation.,"The HIGH-activation group is characterized by a predominance of ECGs flagged as 'Recording unsuitable for analysis - please repeat' with invalid axis values (29999°) and data quality warnings. While both groups contain complex pathologies when interpretable, 68% of HIGH-activation ECGs have critical data quality issues versus only 12.5% of controls. This suggests the SAE detector has learned to identify technical recording failures and uninterpretable signals rather than specific cardiac pathology.",-0.0942700380256727,0.6612768508490029,24,-6,False
fake_6,20,"The detector activates on nonspecific ST-T wave changes, particularly in lateral and inferolateral territories","The HIGH-activation group shows a striking pattern of nonspecific ST-T wave changes, with 19 of 25 ECGs (76%) explicitly mentioning 'nonspecific' ST-T or T wave changes in various territories (lateral, inferolateral, inferior, anterolateral). These are specifically labeled as 'nonspecific' rather than being attributed to a clear pathological cause. In contrast, the CONTROL group lacks this pattern entirely—when ST-T changes appear, they are either attributed to specific causes (ischemia, infarct, LVH, pericarditis) or absent altogether.",0.2238853879132258,0.29294523694256686,24,-7,False
fake_7,20,The detector activates on pacemaker-mediated rhythms,"The HIGH group consists almost entirely of paced rhythms (24/25 ECGs, 96%) including A-V sequential pacemakers, ventricular pacing, and demand pacing. The CONTROL group contains NO paced rhythms - instead showing sinus rhythm, atrial fibrillation, and other intrinsic cardiac rhythms. The single HIGH ECG without explicit pacemaker annotation (#9) shows demand pacing in its interpretation, maintaining the pattern.",0.1827897540648856,0.3925979047020612,24,-8,False
fake_8,20,"The detector activates on technical recording artifacts, specifically arm lead misplacement and data quality errors.","The HIGH-activation group shows systematic technical recording problems that are completely absent in controls. Ten ECGs (40%) show suspected arm lead reversal with limited lead analysis (only aVF, V1-V6 analyzed), and five ECGs show severe data quality issues including unsuitable recordings, analysis errors, and external noise. The CONTROL group has zero instances of arm lead reversal warnings or data quality errors despite similar overall complexity.",0.21513412853116784,0.3127064443691356,24,-9,False
fake_9,20,The detector activates on sinus bradycardia (heart rate 50-53 bpm),"All 25 HIGH-activation ECGs demonstrate sinus bradycardia with heart rates between 50-53 bpm (mean ~51.5 bpm). In contrast, the CONTROL group shows diverse heart rates ranging from 61-114 bpm, including sinus tachycardia and normal sinus rhythm, but NO bradycardia. While both groups contain similar complexity features (prolonged QT, LVH, axis deviations, ischemic changes), the HIGH group is uniformly bradycardic whereas the CONTROL group systematically excludes this heart rate range.",0.5463997676869065,0.005736114570714591,24,-10,False
